user,pid,status,timestamp
8,4411,1,102044
9,619,0,104797
5,2617,1,109536
7,6493,0,106824
8,5038,0,106705
4,432,1,109137
2,10503,0,103255
9,5858,0,101088
7,3024,0,101097
8,3357,0,101665
1,708,0,100140
8,1920,0,103545
7,1910,1,110320
10,8563,0,110679
9,4845,1,108206
10,2411,0,107261
3,4607,0,107555
5,92,1,110961
8,6333,0,108172
5,5027,1,106252
10,7951,0,110434
1,9955,1,100712
6,7754,0,109829
5,4781,0,106160
5,6743,0,108893
1,10598,1,101462
2,462,1,102875
5,9459,0,108905
1,1796,1,106510
2,5244,0,110960
3,6933,1,100251
7,2714,1,101317
9,6471,0,101322
2,2595,0,111054
4,3368,0,111952
6,3268,1,101766
7,2213,1,108137
10,2421,1,100564
8,3032,0,103321
3,5743,1,102761
10,2580,0,108315
1,8504,1,111123
10,8852,0,111839
1,6609,0,107545
3,268,0,101048
5,8465,1,104008
1,5748,0,108385
8,10755,0,110670
1,640,1,106124
8,2955,1,101964
8,9221,1,100987
5,2182,0,100553
2,4235,0,100155
10,1721,1,106001
8,10678,1,103063
5,5313,0,102025
9,9794,1,108322
8,3043,0,103182
10,1011,1,104135
10,429,0,108856
4,10261,1,109571
6,6037,0,111394
9,917,0,109035
10,6724,1,104266
5,9297,1,109321
3,6337,1,111097
3,4465,0,107591
8,8478,0,103426
4,8779,0,109638
10,2642,1,110071
9,6411,0,100804
7,4858,1,103936
2,5801,1,102902
8,8636,1,107137
4,8757,1,105503
4,1835,0,106294
5,4670,0,106957
6,9780,1,104861
1,1057,1,107487
8,6721,0,102341
6,5395,1,103742
10,2473,1,105252
7,7968,1,101147
9,8831,0,109703
5,7178,0,103414
1,89,1,106435
10,551,0,101583
7,6767,0,102199
8,10393,0,111944
4,376,0,106311
7,6812,0,111194
1,10815,0,106257
5,571,1,104207
7,7736,1,107207
10,8993,0,106756
1,3974,1,109291
2,7871,0,104557
10,5871,0,103502
3,7110,1,100991
5,10098,1,110079
